Marital Status,Distance From Home,Employee Number,Age,Education Field,Gender,Education,CF_age band,CF_current Employee,Over18,emp no
Divorced,1,882,32,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-882
Married,4,885,25,Marketing,Male,High School,25 - 34,1,Y,STAFF-885
Married,1,887,49,Technical Degree,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-887
Married,4,888,24,Life Sciences,Male,High School,Under 25,1,Y,STAFF-888
Married,5,889,32,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-889
Married,9,893,38,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-893
Married,3,894,42,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-894
Married,11,895,31,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-895
Divorced,1,896,29,Medical,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-896
Married,8,897,53,Marketing,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-897
Married,25,899,35,Technical Degree,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-899
Married,21,900,37,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-900
Single,23,901,53,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-901
Married,1,902,43,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-902
Married,2,903,47,Marketing,Female,Associates Degree,45 - 54,1,Y,STAFF-903
Single,19,904,37,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-904
Divorced,2,905,50,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-905
Married,2,909,39,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-909
Divorced,3,910,33,Human Resources,Male,Associates Degree,25 - 34,1,Y,STAFF-910
Single,25,911,32,Life Sciences,Male,Master's Degree,25 - 34,0,Y,STAFF-911
Divorced,7,912,29,Medical,Female,High School,25 - 34,1,Y,STAFF-912
Married,9,913,44,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-913
Single,5,916,28,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-916
Divorced,2,918,58,Life Sciences,Male,High School,Over 55,0,Y,STAFF-918
Divorced,8,920,43,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-920
Single,2,922,20,Medical,Female,Bachelor's Degree,Under 25,0,Y,STAFF-922
Single,18,923,21,Other,Female,High School,Under 25,0,Y,STAFF-923
Married,14,924,36,Life Sciences,Male,High School,35 - 44,1,Y,STAFF-924
Single,2,925,47,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-925
Married,3,926,22,Life Sciences,Female,High School,Under 25,0,Y,STAFF-926
Divorced,2,927,41,Life Sciences,Female,Master's Degree,35 - 44,0,Y,STAFF-927
Divorced,9,930,28,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-930
Married,6,932,39,Medical,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-932
Single,4,933,27,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-933
Divorced,10,934,34,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-934
Single,14,936,42,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-936
Single,1,939,33,Other,Male,Master's Degree,25 - 34,1,Y,STAFF-939
Divorced,5,940,58,Technical Degree,Female,Bachelor's Degree,Over 55,1,Y,STAFF-940
Married,7,941,31,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-941
Married,21,942,35,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-942
Married,8,944,49,Other,Female,Associates Degree,45 - 54,1,Y,STAFF-944
Married,20,945,48,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-945
Married,20,947,31,Marketing,Female,Associates Degree,25 - 34,1,Y,STAFF-947
Single,7,949,36,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-949
Married,1,950,38,Technical Degree,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-950
Married,1,951,32,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-951
Married,19,952,25,Marketing,Male,Associates Degree,25 - 34,0,Y,STAFF-952
Divorced,10,954,40,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-954
Single,1,956,26,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-956
Single,6,957,41,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-957
Single,2,958,36,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-958
Single,21,959,19,Other,Male,Bachelor's Degree,Under 25,0,Y,STAFF-959
Single,4,960,20,Technical Degree,Male,Bachelor's Degree,Under 25,0,Y,STAFF-960
Married,12,961,31,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-961
Divorced,9,964,40,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-964
Married,3,966,32,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-966
Married,3,967,36,Life Sciences,Male,High School,35 - 44,0,Y,STAFF-967
Single,1,969,33,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-969
Married,1,970,37,Life Sciences,Male,Master's Degree,35 - 44,0,Y,STAFF-970
Married,4,972,45,Life Sciences,Male,Associates Degree,45 - 54,1,Y,STAFF-972
Married,20,974,29,Technical Degree,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-974
Married,18,975,35,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-975
Married,1,976,52,Life Sciences,Male,Associates Degree,45 - 54,1,Y,STAFF-976
Single,2,977,58,Technical Degree,Male,Bachelor's Degree,Over 55,0,Y,STAFF-977
Divorced,2,981,53,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-981
Divorced,8,982,30,Other,Male,Associates Degree,25 - 34,1,Y,STAFF-982
Single,10,983,38,Technical Degree,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-983
Divorced,3,984,35,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-984
Single,2,985,39,Life Sciences,Male,Doctoral Degree,35 - 44,1,Y,STAFF-985
Single,24,986,40,Life Sciences,Female,Bachelor's Degree,35 - 44,0,Y,STAFF-986
Divorced,16,987,47,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-987
Divorced,8,990,36,Technical Degree,Male,Master's Degree,35 - 44,1,Y,STAFF-990
Single,9,991,31,Medical,Male,Associates Degree,25 - 34,0,Y,STAFF-991
Single,17,992,33,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-992
Single,10,994,29,Life Sciences,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-994
Single,13,995,33,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-995
Divorced,1,996,45,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-996
Divorced,1,997,50,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-997
Married,1,998,33,Other,Female,Master's Degree,25 - 34,1,Y,STAFF-998
Divorced,9,999,41,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-999
Married,16,1001,27,Technical Degree,Female,Master's Degree,25 - 34,1,Y,STAFF-1001
Married,23,1002,45,Life Sciences,Male,Associates Degree,45 - 54,1,Y,STAFF-1002
Single,4,1003,47,Life Sciences,Female,Associates Degree,45 - 54,1,Y,STAFF-1003
Married,22,1004,30,Life Sciences,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-1004
Married,24,1005,50,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-1005
Married,10,1006,38,Medical,Male,High School,35 - 44,1,Y,STAFF-1006
Divorced,7,1007,46,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-1007
Divorced,17,1009,24,Medical,Female,High School,Under 25,1,Y,STAFF-1009
Divorced,14,1010,35,Other,Male,Master's Degree,35 - 44,0,Y,STAFF-1010
Married,1,1011,31,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-1011
Single,5,1012,18,Life Sciences,Male,Associates Degree,Under 25,1,Y,STAFF-1012
Married,17,1013,54,Technical Degree,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1013
Divorced,25,1014,35,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-1014
Married,8,1015,30,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-1015
Single,11,1016,20,Medical,Female,Bachelor's Degree,Under 25,0,Y,STAFF-1016
Single,5,1017,30,Medical,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-1017
Married,2,1018,26,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-1018
Married,8,1019,22,Life Sciences,Male,High School,Under 25,1,Y,STAFF-1019
Single,6,1022,48,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-1022
Single,4,1024,48,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-1024
Single,7,1025,41,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-1025
Married,1,1026,39,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-1026
Married,2,1027,27,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-1027
Divorced,10,1028,35,Other,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1028
Married,5,1029,42,Marketing,Male,Associates Degree,35 - 44,1,Y,STAFF-1029
Married,9,1030,50,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-1030
Single,2,1032,59,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-1032
Married,11,1033,37,Medical,Female,Associates Degree,35 - 44,0,Y,STAFF-1033
Married,18,1034,55,Medical,Male,Master's Degree,Over 55,1,Y,STAFF-1034
Divorced,7,1035,41,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-1035
Single,3,1036,38,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-1036
Single,29,1037,26,Medical,Male,Associates Degree,25 - 34,0,Y,STAFF-1037
Married,2,1038,52,Marketing,Female,High School,45 - 54,0,Y,STAFF-1038
Married,28,1039,44,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1039
Married,1,1040,50,Life Sciences,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1040
Single,16,1042,36,Life Sciences,Female,Master's Degree,35 - 44,0,Y,STAFF-1042
Single,22,1043,39,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1043
Single,8,1044,33,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-1044
Married,11,1045,45,Life Sciences,Female,Associates Degree,45 - 54,1,Y,STAFF-1045
Single,29,1046,32,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-1046
Divorced,1,1047,34,Marketing,Male,Master's Degree,25 - 34,1,Y,STAFF-1047
Married,1,1048,59,Technical Degree,Male,Associates Degree,Over 55,1,Y,STAFF-1048
Single,24,1049,45,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-1049
Married,2,1050,53,Marketing,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1050
Divorced,15,1052,36,Other,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-1052
Married,2,1053,26,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-1053
Married,10,1055,34,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-1055
Married,10,1056,28,Medical,Male,High School,25 - 34,1,Y,STAFF-1056
Married,3,1060,38,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-1060
Married,2,1061,50,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-1061
Single,3,1062,37,Other,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1062
Married,26,1066,40,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1066
Divorced,1,1068,26,Medical,Female,High School,25 - 34,1,Y,STAFF-1068
Divorced,1,1069,46,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-1069
Married,2,1070,54,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-1070
Married,9,1071,56,Medical,Female,Bachelor's Degree,Over 55,1,Y,STAFF-1071
Single,12,1073,36,Medical,Female,Doctoral Degree,35 - 44,1,Y,STAFF-1073
Single,2,1074,55,Medical,Male,High School,Over 55,1,Y,STAFF-1074
Divorced,25,1076,43,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1076
Single,9,1077,20,Marketing,Female,Bachelor's Degree,Under 25,0,Y,STAFF-1077
Single,10,1079,21,Life Sciences,Female,Bachelor's Degree,Under 25,0,Y,STAFF-1079
Divorced,8,1080,46,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-1080
Married,4,1081,51,Life Sciences,Male,Master's Degree,45 - 54,0,Y,STAFF-1081
Single,24,1082,28,Technical Degree,Male,Associates Degree,25 - 34,0,Y,STAFF-1082
Married,1,1083,26,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-1083
Married,20,1084,30,Other,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1084
Married,7,1085,41,Technical Degree,Female,Associates Degree,35 - 44,1,Y,STAFF-1085
Married,17,1088,38,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-1088
Married,20,1092,40,Technical Degree,Male,Master's Degree,35 - 44,1,Y,STAFF-1092
Married,8,1094,27,Life Sciences,Male,Doctoral Degree,25 - 34,1,Y,STAFF-1094
Married,2,1096,55,Life Sciences,Male,High School,Over 55,1,Y,STAFF-1096
Single,10,1097,28,Other,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1097
Married,1,1098,44,Medical,Male,Associates Degree,35 - 44,0,Y,STAFF-1098
Divorced,5,1099,33,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1099
Single,4,1100,35,Technical Degree,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-1100
Single,29,1101,33,Medical,Female,Master's Degree,25 - 34,0,Y,STAFF-1101
Divorced,15,1102,28,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-1102
Single,3,1103,34,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-1103
Divorced,10,1105,37,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-1105
Married,4,1106,25,Technical Degree,Male,High School,25 - 34,0,Y,STAFF-1106
Divorced,21,1107,26,Medical,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-1107
Single,25,1108,33,Medical,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-1108
Married,2,1109,42,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-1109
Divorced,1,1111,28,Medical,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-1111
Single,1,1113,50,Other,Male,Master's Degree,45 - 54,0,Y,STAFF-1113
Married,7,1114,33,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1114
Married,3,1115,34,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-1115
Single,1,1116,48,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-1116
Married,9,1117,45,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-1117
Single,7,1118,52,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-1118
Divorced,10,1119,38,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-1119
Divorced,28,1120,29,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-1120
Divorced,3,1121,28,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1121
Married,3,1124,46,Marketing,Male,High School,45 - 54,1,Y,STAFF-1124
Single,2,1125,38,Marketing,Male,Associates Degree,35 - 44,1,Y,STAFF-1125
Married,27,1126,43,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1126
Divorced,2,1127,39,Life Sciences,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-1127
Single,14,1128,40,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1128
Single,1,1131,21,Technical Degree,Female,High School,Under 25,1,Y,STAFF-1131
Single,9,1132,39,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1132
Single,18,1133,36,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-1133
Married,20,1135,31,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1135
Married,2,1136,28,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-1136
Divorced,11,1137,35,Marketing,Male,Associates Degree,35 - 44,1,Y,STAFF-1137
Married,8,1138,49,Technical Degree,Male,Master's Degree,45 - 54,1,Y,STAFF-1138
Single,2,1140,34,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-1140
Divorced,10,1143,29,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1143
Single,29,1148,42,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1148
Married,8,1150,29,Medical,Male,High School,25 - 34,1,Y,STAFF-1150
Married,1,1152,38,Human Resources,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1152
Divorced,6,1154,28,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1154
Single,8,1156,18,Medical,Male,High School,Under 25,0,Y,STAFF-1156
Single,9,1157,33,Marketing,Female,Master's Degree,25 - 34,0,Y,STAFF-1157
Married,12,1158,41,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-1158
Married,15,1160,31,Medical,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-1160
Divorced,25,1161,37,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-1161
Married,6,1162,27,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1162
Married,9,1163,34,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-1163
Single,8,1164,35,Technical Degree,Male,Master's Degree,35 - 44,1,Y,STAFF-1164
Married,23,1165,29,Life Sciences,Female,High School,25 - 34,0,Y,STAFF-1165
Single,9,1166,40,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-1166
Single,12,1167,42,Life Sciences,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-1167
Single,4,1171,42,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-1171
Married,1,1172,35,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-1172
Single,24,1173,24,Medical,Male,Bachelor's Degree,Under 25,1,Y,STAFF-1173
Married,12,1175,28,Life Sciences,Female,High School,25 - 34,0,Y,STAFF-1175
Married,3,1177,26,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-1177
Married,10,1179,30,Marketing,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1179
Married,26,1180,40,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-1180
Divorced,2,1182,35,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1182
Single,1,1184,34,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1184
Married,4,1185,35,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-1185
Single,9,1188,43,Marketing,Female,Bachelor's Degree,35 - 44,0,Y,STAFF-1188
Divorced,2,1190,32,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-1190
Divorced,4,1191,56,Technical Degree,Female,Master's Degree,Over 55,1,Y,STAFF-1191
Married,6,1192,29,Medical,Female,High School,25 - 34,1,Y,STAFF-1192
Single,9,1193,19,Life Sciences,Male,Associates Degree,Under 25,1,Y,STAFF-1193
Married,7,1195,45,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1195
Married,1,1196,37,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1196
Single,3,1198,20,Life Sciences,Male,Bachelor's Degree,Under 25,1,Y,STAFF-1198
Single,10,1200,44,Life Sciences,Male,Master's Degree,35 - 44,0,Y,STAFF-1200
Divorced,7,1201,53,Medical,Female,Associates Degree,45 - 54,1,Y,STAFF-1201
Married,15,1202,29,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-1202
Married,3,1203,22,Life Sciences,Male,Master's Degree,Under 25,0,Y,STAFF-1203
Married,2,1204,46,Marketing,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1204
Single,17,1206,44,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1206
Married,2,1207,33,Human Resources,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1207
Divorced,5,1210,41,Life Sciences,Male,Associates Degree,35 - 44,0,Y,STAFF-1210
Divorced,29,1211,30,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-1211
Married,2,1212,40,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-1212
Married,2,1215,50,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1215
Married,19,1216,28,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-1216
Married,15,1217,46,Life Sciences,Male,Associates Degree,45 - 54,1,Y,STAFF-1217
Married,17,1218,35,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-1218
Married,17,1219,24,Life Sciences,Female,Associates Degree,Under 25,0,Y,STAFF-1219
Married,25,1220,33,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1220
Divorced,6,1221,36,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-1221
Divorced,7,1224,30,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-1224
Single,29,1225,44,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-1225
Single,21,1226,20,Marketing,Male,Bachelor's Degree,Under 25,1,Y,STAFF-1226
Divorced,2,1228,46,Technical Degree,Male,Master's Degree,45 - 54,1,Y,STAFF-1228
Married,2,1231,42,Medical,Male,Doctoral Degree,35 - 44,1,Y,STAFF-1231
Divorced,7,1233,60,Marketing,Male,Master's Degree,Over 55,1,Y,STAFF-1233
Married,13,1234,32,Other,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1234
Single,2,1235,32,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-1235
Divorced,1,1237,36,Technical Degree,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1237
Married,9,1238,33,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1238
Divorced,10,1239,40,Technical Degree,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-1239
Single,10,1240,25,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-1240
Married,1,1241,30,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1241
Married,26,1242,42,Medical,Female,Doctoral Degree,35 - 44,1,Y,STAFF-1242
Married,8,1243,35,Marketing,Female,Associates Degree,35 - 44,1,Y,STAFF-1243
Married,14,1244,27,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1244
Divorced,1,1245,54,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-1245
Married,2,1246,44,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-1246
Single,10,1248,19,Medical,Female,Bachelor's Degree,Under 25,0,Y,STAFF-1248
Divorced,1,1249,29,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1249
Married,3,1250,54,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-1250
Married,11,1251,31,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-1251
Single,24,1252,31,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1252
Single,3,1254,59,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-1254
Married,3,1255,43,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1255
Married,4,1256,49,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-1256
Married,3,1257,36,Technical Degree,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1257
Single,2,1258,48,Technical Degree,Male,Associates Degree,45 - 54,1,Y,STAFF-1258
Divorced,4,1259,27,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-1259
Divorced,7,1260,29,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1260
Single,1,1263,48,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-1263
Divorced,1,1264,29,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1264
Married,20,1265,34,Technical Degree,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1265
Married,5,1267,44,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-1267
Divorced,10,1268,33,Marketing,Male,Doctoral Degree,25 - 34,1,Y,STAFF-1268
Single,25,1269,19,Life Sciences,Female,Bachelor's Degree,Under 25,1,Y,STAFF-1269
Married,1,1270,23,Life Sciences,Male,Associates Degree,Under 25,1,Y,STAFF-1270
Single,24,1273,25,Life Sciences,Male,High School,25 - 34,0,Y,STAFF-1273
Single,4,1275,26,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-1275
Single,2,1277,45,Marketing,Female,Bachelor's Degree,45 - 54,0,Y,STAFF-1277
Divorced,8,1278,55,Medical,Male,High School,Over 55,1,Y,STAFF-1278
Single,10,1279,21,Life Sciences,Female,Associates Degree,Under 25,0,Y,STAFF-1279
Married,4,1280,46,Marketing,Female,Associates Degree,45 - 54,1,Y,STAFF-1280
Single,2,1281,34,Marketing,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1281
Divorced,9,1282,51,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-1282
Single,18,1283,59,Medical,Male,Master's Degree,Over 55,1,Y,STAFF-1283
Divorced,19,1285,34,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1285
Single,1,1286,28,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-1286
Divorced,4,1288,44,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-1288
Married,11,1289,34,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1289
Married,6,1291,35,Life Sciences,Male,High School,35 - 44,1,Y,STAFF-1291
Married,7,1292,42,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-1292
Single,4,1293,43,Marketing,Female,Master's Degree,35 - 44,1,Y,STAFF-1293
Single,2,1294,36,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-1294
Married,15,1295,44,Medical,Female,Bachelor's Degree,35 - 44,0,Y,STAFF-1295
Married,2,1296,28,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1296
Single,6,1297,51,Medical,Female,Associates Degree,45 - 54,1,Y,STAFF-1297
Single,9,1298,30,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-1298
Divorced,7,1299,29,Technical Degree,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-1299
Single,1,1301,28,Technical Degree,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1301
Single,1,1303,25,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1303
Married,8,1304,32,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-1304
Single,25,1306,45,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-1306
Divorced,13,1307,39,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-1307
Divorced,23,1308,58,Life Sciences,Male,Master's Degree,Over 55,1,Y,STAFF-1308
Married,7,1309,32,Life Sciences,Male,Associates Degree,25 - 34,0,Y,STAFF-1309
Single,23,1310,39,Medical,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-1310
Married,6,1311,30,Technical Degree,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1311
Married,10,1312,36,Technical Degree,Female,Master's Degree,35 - 44,1,Y,STAFF-1312
Single,1,1314,46,Life Sciences,Female,Associates Degree,45 - 54,1,Y,STAFF-1314
Married,1,1315,28,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-1315
